"Name","State","Notes","User","Tags","Created","Runtime","Sweep","E","alpha","del_rate","dn_rate","dup_rate","edge_rate","elite_size","exp_type","gens","nenv","node_cost","pop_size","proj","rep","season_length","average_fitness","average_grnsize","benefitial_mutation","deleterious_mutation","expression_robustness","fitness_robustness","gen","high","low","spec"
"D_200_30_1051472148","crashed","-","molanu","","2020-12-03T14:26:10.000Z","107981","","30","10","0.01","0.005","0.005","0.05","0","D_200_30_10","100000","2","0.0001","1000","GRN_evolution","4","200","0.28641270517725925","0.121","0.4275418820652005","0.5724581179347995","0.4128","0.414","0","0","100","0"
"D_200_30_10df46bca1","crashed","-","molanu","","2020-12-03T14:24:05.000Z","107988","","30","10","0.01","0.005","0.005","0.05","0","D_200_30_10","100000","2","0.0001","1000","GRN_evolution","3","200","0.1645022369042593","0.22","0.5305785045069855","0.4694214954930145","0.4266","0.42839999999999995","0","0","100","0"
"D_200_30_105366d57f","crashed","-","molanu","","2020-12-03T14:23:38.000Z","107974","","30","10","0.01","0.005","0.005","0.05","0","D_200_30_10","100000","2","0.0001","1000","GRN_evolution","2","200","0.5117692987304443","0.552","0.2977438992278","0.7022561007722001","0.5327999999999999","0.5343999999999999","0","0","100","0"
"D_200_30_10f441b021","crashed","-","molanu","","2020-12-03T14:22:05.000Z","107992","","30","10","0.01","0.005","0.005","0.05","0","D_200_30_10","100000","2","0.0001","1000","GRN_evolution","1","200","0.566235599789","0.243","0.2166573895645927","0.7833426104354072","0.4615999999999999","0.4628","0","0","100","0"
"D_200_20_5f25e8bfc","crashed","-","molanu","","2020-12-03T14:21:35.000Z","107981","","20","5","0.01","0.005","0.005","0.05","0","D_200_20_5","100000","2","0.0001","1000","GRN_evolution","5","200","0.229950241623","0.081","0.49400863384033367","0.5059913661596663","0.1062","0.1094","5","0","94","1"
"D_200_20_5fb0d9cbd","crashed","-","molanu","","2020-12-03T14:20:34.000Z","108000","","20","5","0.01","0.005","0.005","0.05","0","D_200_20_5","100000","2","0.0001","1000","GRN_evolution","4","200","0.6569784436646249","0.097","0.221434872295706","0.7785651277042939","0.17900000000000002","0.1846","0","0","85","15"
"D_200_20_5d5b8510d","crashed","-","molanu","","2020-12-03T14:20:04.000Z","107984","","20","5","0.01","0.005","0.005","0.05","0","D_200_20_5","100000","2","0.0001","1000","GRN_evolution","3","200","0.6454825743641249","1.659","0.37577989952398033","0.6242201004760197","0.3386","0.3404","0","0","100","0"
"D_200_20_5d9006a19","crashed","-","molanu","","2020-12-03T14:20:04.000Z","107975","","20","5","0.01","0.005","0.005","0.05","0","D_200_20_5","100000","2","0.0001","1000","GRN_evolution","2","200","0.13512334587425004","0.486","0.5794243829105697","0.42057561708943025","0.25860000000000005","0.26","1","0","49","50"
"D_200_20_204b3e3cf8","crashed","-","molanu","","2020-12-03T14:19:03.000Z","107993","","20","20","0.01","0.005","0.005","0.05","0","D_200_20_20","100000","2","0.0001","1000","GRN_evolution","5","200","0.211465109367625","0.041","0.451842508510372","0.5481574914896281","0.43519999999999986","0.4356","0","0","100","0"
"D_200_20_563b9f029","crashed","-","molanu","","2020-12-03T14:19:03.000Z","107976","","20","5","0.01","0.005","0.005","0.05","0","D_200_20_5","100000","2","0.0001","1000","GRN_evolution","1","200","0.644467507889","0.26","0.24828633498202352","0.7517136650179763","0.22580000000000008","0.2324","0","0","91","9"
"D_200_20_2016ab215b","crashed","-","molanu","","2020-12-03T14:16:05.000Z","107997","","20","20","0.01","0.005","0.005","0.05","0","D_200_20_20","100000","2","0.0001","1000","GRN_evolution","4","200","0.256227358621125","0.866","0.4241817933169477","0.5758182066830523","0.5675999999999999","0.5871999999999999","10","0","90","0"
